"city","sector","inventory","pollutant","emission"
"Sofia","ms2","jrc","pm25",6.437055369
"Utrecht","ms2","jrc","pm25",4.481674259
"Warsaw","ms2","jrc","pm25",4.761303943
"Barcelona","ms2","macc2","pm25",3.846224112
"Bucarest","ms2","macc2","pm25",2.553863957
"Budapest","ms2","macc2","pm25",11.46148119
"Katowice","ms2","macc2","pm25",1.67792539
"London","ms2","macc2","pm25",3.052828794
"Madrid","ms2","macc2","pm25",5.261695666
"Milan","ms2","macc2","pm25",1.314287286
"Paris","ms2","macc2","pm25",6.565087919
"Sofia","ms2","macc2","pm25",6.472195613
"Utrecht","ms2","macc2","pm25",6.893073568
"Warsaw","ms2","macc2","pm25",1.754361027
"Barcelona","ms2","macc3","pm25",2.259590032
"Bucarest","ms2","macc3","pm25",1.966825738
"Budapest","ms2","macc3","pm25",4.948699942
"Katowice","ms2","macc3","pm25",1.717211551
"London","ms2","macc3","pm25",1.111346
"Madrid","ms2","macc3","pm25",1.054855589
"Milan","ms2","macc3","pm25",0.752489506
"Paris","ms2","macc3","pm25",0.592923987
"Sofia","ms2","macc3","pm25",6.317746698
"Utrecht","ms2","macc3","pm25",5.140967966
"Warsaw","ms2","macc3","pm25",1.851613579
"Barcelona","ms7","ctm4iam","pm25",3.139937871
"Bucarest","ms7","ctm4iam","pm25",2.847266571
"Budapest","ms7","ctm4iam","pm25",12.7623059
"Katowice","ms7","ctm4iam","pm25",3.335597766
"London","ms7","ctm4iam","pm25",6.143701959
"Madrid","ms7","ctm4iam","pm25",5.940895839
"Milan","ms7","ctm4iam","pm25",3.799745504
"Paris","ms7","ctm4iam","pm25",5.662101542
"Sofia","ms7","ctm4iam","pm25",5.280707901
"Utrecht","ms7","ctm4iam","pm25",7.239331019
"Warsaw","ms7","ctm4iam","pm25",4.466871889
"Barcelona","ms7","edgar","pm25",2.117550774
"Bucarest","ms7","edgar","pm25",3.875968713
"Budapest","ms7","edgar","pm25",8.575298118
"Katowice","ms7","edgar","pm25",1.921489177
"London","ms7","edgar","pm25",3.622162185
"Madrid","ms7","edgar","pm25",3.184959323
"Milan","ms7","edgar","pm25",1.9554324
"Paris","ms7","edgar","pm25",2.477950678
"Sofia","ms7","edgar","pm25",6.838702803
"Utrecht","ms7","edgar","pm25",5.893804876
"Warsaw","ms7","edgar","pm25",2.066819786
"Paris","ms7","emep","pm25",7.217318431
"Barcelona","ms7","emep","pm25",4.652091095
"Bucarest","ms7","emep","pm25",8.631811792
"Budapest","ms7","emep","pm25",14.69386462
"Katowice","ms7","emep","pm25",3.690974629
"London","ms7","emep","pm25",7.701271713
"Madrid","ms7","emep","pm25",6.805779443
"Milan","ms7","emep","pm25",4.089858584
"Sofia","ms7","emep","pm25",12.40027149
"Utrecht","ms7","emep","pm25",6.815428432
"Warsaw","ms7","emep","pm25",3.821083608
"Barcelona","ms7","jrc","pm25",5.801034786
"Bucarest","ms7","jrc","pm25",4.409328674
"Budapest","ms7","jrc","pm25",8.859824439
"Katowice","ms7","jrc","pm25",2.894113535
"London","ms7","jrc","pm25",10.80804129
"Madrid","ms7","jrc","pm25",6.317637121
"Milan","ms7","jrc","pm25",3.232383017
"Paris","ms7","jrc","pm25",7.64281567
"Sofia","ms7","jrc","pm25",7.720675675
"Utrecht","ms7","jrc","pm25",6.178702164
"Warsaw","ms7","jrc","pm25",2.366113261
"Barcelona","ms7","macc2","pm25",4.625283258
"Bucarest","ms7","macc2","pm25",8.660615932
"Budapest","ms7","macc2","pm25",14.5514262
"Katowice","ms7","macc2","pm25",3.699065077
"London","ms7","macc2","pm25",7.56711318
"Madrid","ms7","macc2","pm25",6.767932822
"Milan","ms7","macc2","pm25",4.065364258
"Paris","ms7","macc2","pm25",6.77820528
"Sofia","ms7","macc2","pm25",12.49809196
"Utrecht","ms7","macc2","pm25",6.834201485
"Warsaw","ms7","macc2","pm25",3.781368795
"Barcelona","ms7","macc3","pm25",4.647404139
"Bucarest","ms7","macc3","pm25",8.629377646
"Budapest","ms7","macc3","pm25",14.55526838
"Katowice","ms7","macc3","pm25",3.691024218
"London","ms7","macc3","pm25",7.691188469
"Madrid","ms7","macc3","pm25",6.800677403
"Milan","ms7","macc3","pm25",4.090852547
"Paris","ms7","macc3","pm25",7.224230819
"Sofia","ms7","macc3","pm25",12.39404756
"Utrecht","ms7","macc3","pm25",6.826637003
"Warsaw","ms7","macc3","pm25",3.821595424
"Barcelona","ms34","ctm4iam","so2",2.169590117
"Bucarest","ms34","ctm4iam","so2",3.64009983
"Budapest","ms34","ctm4iam","so2",17.87972459
"Katowice","ms34","ctm4iam","so2",1.459298772
"London","ms34","ctm4iam","so2",0.653784833
"Madrid","ms34","ctm4iam","so2",0.36817969
"Milan","ms34","ctm4iam","so2",1.66718374
"Paris","ms34","ctm4iam","so2",2.060311875
"Sofia","ms34","ctm4iam","so2",0.750258961
"Utrecht","ms34","ctm4iam","so2",0.444947977
"Warsaw","ms34","ctm4iam","so2",0.789694282
"Barcelona","ms34","edgar","so2",6.200247142
"Bucarest","ms34","edgar","so2",13.44732999
"Budapest","ms34","edgar","so2",44.17355919
"Katowice","ms34","edgar","so2",9.234980036
"London","ms34","edgar","so2",10.94351617
"Madrid","ms34","edgar","so2",9.046923135
"Milan","ms34","edgar","so2",4.451172875
"Paris","ms34","edgar","so2",12.36411471
"Sofia","ms34","edgar","so2",15.86037268
"Utrecht","ms34","edgar","so2",2.87760111
"Warsaw","ms34","edgar","so2",7.96717434
"Paris","ms34","emep","so2",1.255589467
"Barcelona","ms34","emep","so2",1.851277392
"Bucarest","ms34","emep","so2",1.015175746
"Budapest","ms34","emep","so2",23.44463911
"Katowice","ms34","emep","so2",2.191960584
"London","ms34","emep","so2",0.996963181
"Madrid","ms34","emep","so2",1.06743791
"Milan","ms34","emep","so2",2.035051774
"Sofia","ms34","emep","so2",1.18302758
"Utrecht","ms34","emep","so2",2.122057797
"Warsaw","ms34","emep","so2",0.850939278
"Barcelona","ms34","jrc","so2",5.227519872
"Bucarest","ms34","jrc","so2",5.592958372
"Budapest","ms34","jrc","so2",14.80298534
"Katowice","ms34","jrc","so2",6.376885664
"London","ms34","jrc","so2",2.695829217
"Madrid","ms34","jrc","so2",4.892963222
"Milan","ms34","jrc","so2",3.589896562
"Paris","ms34","jrc","so2",2.758157149
"Sofia","ms34","jrc","so2",9.683095748
"Utrecht","ms34","jrc","so2",1.6149557
"Warsaw","ms34","jrc","so2",2.775530911
"Barcelona","ms34","macc2","so2",3.193953051
"Bucarest","ms34","macc2","so2",4.613170469
"Budapest","ms34","macc2","so2",13.18618394
"Katowice","ms34","macc2","so2",5.357683175
"London","ms34","macc2","so2",6.525136345
"Madrid","ms34","macc2","so2",4.475585273
"Milan","ms34","macc2","so2",3.306070402
"Paris","ms34","macc2","so2",5.524497904
"Sofia","ms34","macc2","so2",8.251788871
"Utrecht","ms34","macc2","so2",1.795228922
"Warsaw","ms34","macc2","so2",1.900510049
"Barcelona","ms34","macc3","so2",3.556028782
"Bucarest","ms34","macc3","so2",2.845320697
"Budapest","ms34","macc3","so2",42.9638944
"Katowice","ms34","macc3","so2",10.56948097
"London","ms34","macc3","so2",1.841970814
"Madrid","ms34","macc3","so2",2.42466186
"Milan","ms34","macc3","so2",3.891478784
"Paris","ms34","macc3","so2",1.511792612
"Sofia","ms34","macc3","so2",1.902671256
"Utrecht","ms34","macc3","so2",1.562134225
"Warsaw","ms34","macc3","so2",2.621411317
"Barcelona","ms2","ctm4iam","so2",6.834718392
"Bucarest","ms2","ctm4iam","so2",7.248960652
"Budapest","ms2","ctm4iam","so2",19.9317311
"Katowice","ms2","ctm4iam","so2",4.763001224
"London","ms2","ctm4iam","so2",1.318284843
"Madrid","ms2","ctm4iam","so2",10.11602593
"Milan","ms2","ctm4iam","so2",5.213070684
"Paris","ms2","ctm4iam","so2",8.525220972
"Sofia","ms2","ctm4iam","so2",16.1549431
"Utrecht","ms2","ctm4iam","so2",2.560563733
"Warsaw","ms2","ctm4iam","so2",5.219236544
"Barcelona","ms2","edgar","so2",5.36468135
"Bucarest","ms2","edgar","so2",9.574367278
"Budapest","ms2","edgar","so2",20.01309558
"Katowice","ms2","edgar","so2",4.154102281
"London","ms2","edgar","so2",8.63553317
"Madrid","ms2","edgar","so2",9.063351039
"Milan","ms2","edgar","so2",4.893080226
"Paris","ms2","edgar","so2",8.374818763
"Sofia","ms2","edgar","so2",10.51674127
"Utrecht","ms2","edgar","so2",4.492964752
"Warsaw","ms2","edgar","so2",4.448695872
"Paris","ms2","emep","so2",4.579799891
"Barcelona","ms2","emep","so2",2.24860924
"Bucarest","ms2","emep","so2",2.968304193
"Budapest","ms2","emep","so2",8.92088291
"Katowice","ms2","emep","so2",1.739805643
"London","ms2","emep","so2",1.725560812
"Madrid","ms2","emep","so2",2.710638292
"Milan","ms2","emep","so2",2.612011254
"Sofia","ms2","emep","so2",6.160897039
"Utrecht","ms2","emep","so2",4.555739403
"Warsaw","ms2","emep","so2",1.980311096
"Barcelona","ms2","jrc","so2",6.54544762
"Bucarest","ms2","jrc","so2",10.06663613
"Budapest","ms2","jrc","so2",19.85378214
"Katowice","ms2","jrc","so2",4.308006061
"London","ms2","jrc","so2",9.793181525
"Madrid","ms2","jrc","so2",9.692869453
"Milan","ms2","jrc","so2",5.362021633
"Paris","ms2","jrc","so2",12.55640856
"Sofia","ms2","jrc","so2",16.01319383
"Utrecht","ms2","jrc","so2",5.365842991
"Warsaw","ms2","jrc","so2",5.758078322
"Barcelona","ms2","macc2","so2",3.377814727
"Bucarest","ms2","macc2","so2",2.500719024
"Budapest","ms2","macc2","so2",1.015436832
"Katowice","ms2","macc2","so2",1.681060906
"London","ms2","macc2","so2",2.887972478
"Madrid","ms2","macc2","so2",4.703786982
"Milan","ms2","macc2","so2",4.314623462
"Paris","ms2","macc2","so2",8.344889545
"Sofia","ms2","macc2","so2",0.759321264
"Utrecht","ms2","macc2","so2",5.175274705
"Warsaw","ms2","macc2","so2",1.898771193
